"Timestamp","¿Con qué frecuencia limpias tu hogar?","¿Cuál es tu área favorita para limpiar en casa?","¿Qué producto de limpieza usas con más frecuencia actualmente?","¿Qué aspectos valoras en un producto de limpieza?","¿Qué características te gustaría ver en un nuevo producto de limpieza?","¿Tienes alguna preferencia específica en cuanto a la forma de aplicación?","¿Cuál es tu aroma preferido para productos de limpieza?","¿Prefieres productos de limpieza en envases reciclables?","¿Te gustaría que el producto fuera multiusos o específico para una tarea particular?","¿Cuál sería un rango de precio adecuado para un producto de limpieza de calidad?","¿Qué tamaño de envase encuentras más conveniente para tu uso regular?","¿Utilizas productos de limpieza específicos para áreas exteriores?","¿Tienes alguna sugerencia o preferencia adicional para mejorar la experiencia de uso del producto?"
"2024-01-31 13:01:00","Semanalmente","Cocina","Otro","Eficiencia, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","Sí","Multiusos","$10 - $15","Mediano","No","Sería genial si el producto tuviera una versión sin fragancia."
"2024-01-31 13:05:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","No","Me gustaría un envase con dispensador para facilitar su uso."
"2024-01-31 13:10:00","Mensualmente","Sala","Otro","Fragancia, Precio","Aroma fresco, Acción rápida","Toallitas","Lavanda","Sí","Específico","$10 - $15","Mediano","No","Me gustaría recibir muestras gratuitas antes del lanzamiento oficial."
"2024-01-31 13:15:00","Ocasionalmente","Dormitorio","Marca","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Cítricos","No","Multiusos","$5 - $10","Pequeño","No","El producto debería ser fácilmente disponible en tiendas en línea."
"2024-01-31 13:20:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$15 - $20","Grande","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 13:25:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Toallitas","Lavanda","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 13:30:00","Mensualmente","Sala","Productos caseros","Fragancia, Precio","Aroma fresco, Acción rápida","Rociador","Cítricos","Sí","Específico","$5 - $10","Pequeño","Sí","Sería genial si el producto fuera adecuado para personas con alergias."
"2024-01-31 13:35:00","Ocasionalmente","Dormitorio","Marca","Eficiencia, Precio","Desinfectante, Ecológico","Gel","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"Timestamp","Diariamente","Cocina","Otro","Fragancia, Precio","Ecológico, Aroma fresco","Toallitas","Pino","Sí","Específico","$10 - $15","Mediano","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 13:40:00","Ocasionalmente","Dormitorio","Marca","Naturalidad, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","No","Multiusos","$5 - $10","Pequeño","Sí","Sería genial si el producto tuviera una versión sin fragancia."
"2024-01-31 13:45:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","No","El envase debe ser fácil de abrir y cerrar."
"2024-01-31 13:50:00","Mensualmente","Sala","Marca","Eficiencia, Fragancia","Aroma fresco, Acción rápida","Gel","Lavanda","Sí","Específico","$10 - $15","Mediano","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
"2024-01-31 13:55:00","Ocasionalmente","Dormitorio","Otro","Precio","Desinfectante, Aroma fresco","Rociador","Frescura del océano","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una aplicación sin enjuague."
"2024-01-31 14:01:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Ecológico","Toallitas","Frescura del océano","Sí","Multiusos","Menos de $5","Pequeño","No","Sería genial tener opciones sin fragancia."
"2024-01-31 14:05:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","No","Específico","$10 - $15","Mediano","No","Me gustaría que el producto fuera biodegradable."
"2024-01-31 14:10:00","Diariamente","Dormitorio","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Lavanda","Sí","Multiusos","$15 - $20","Grande","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 14:15:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría que el producto se distribuyera en tiendas locales."
"2024-01-31 14:20:00","Diariamente","Baño","Otro","Precio","Ecológico, Aroma fresco","Rociador","Pino","Sí","Multiusos","$10 - $15","Mediano","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 14:25:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","No","Específico","$15 - $20","Grande","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 14:30:00","Mensualmente","Sala","Otro","Fragancia, Precio","Aroma fresco, Acción rápida","Toallitas","Cítricos","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría recibir muestras gratuitas antes del lanzamiento oficial."
"2024-01-31 14:35:00","Ocasionalmente","Dormitorio","Marca","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Lavanda","Sí","Multiusos","$15 - $20","Grande","No","El producto debería ser fácilmente disponible en tiendas en línea."
"2024-01-31 14:40:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$15 - $20","Grande","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 14:45:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Toallitas","Lavanda","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría un programa de fidelidad para clientes frecuentes."
"2024-01-31 14:50:00","Mensualmente","Sala","Productos caseros","Fragancia, Precio","Aroma fresco, Acción rápida","Rociador","Cítricos","No","Específico","$10 - $15","Mediano","Sí","Sería genial si el producto fuera adecuado para personas con alergias."
"2024-01-31 14:55:00","Ocasionalmente","Dormitorio","Marca","Eficiencia, Precio","Desinfectante, Ecológico","Gel","Frescura del océano","Sí","Multiusos","$5 - $10","Pequeño","No","Me gustaría un envase con dispensador para facilitar su uso."
"2024-01-31 15:01:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Rociador","Cítricos","Sí","Específico","$15 - $20","Grande","No","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 15:05:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$5 - $10","Pequeño","Sí","Sería genial tener opciones sin fragancia."
"2024-01-31 15:10:00","Mensualmente","Sala","Otro","Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","No","Multiusos","$10 - $15","Mediano","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 15:15:00","Ocasionalmente","Dormitorio","Marca","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 15:20:00","Semanalmente","Cocina","Otro","Fragancia, Precio","Aroma fresco, Acción rápida","Gel","Lavanda","No","Específico","$5 - $10","Pequeño","Sí","Me gustaría un envase con un diseño atractivo."
"2024-01-31 15:25:00","Diariamente","Baño","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una versión sin fragancia."
"2024-01-31 15:30:00","Mensualmente","Sala","Productos caseros","Naturalidad, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$15 - $20","Grande","Sí","Sería genial si el producto tuviera una aplicación sin enjuague."
"2024-01-31 15:35:00","Ocasionalmente","Dormitorio","Otro","Fragancia, Precio","Desinfectante, Aroma fresco","Rociador","Frescura del océano","No","Multiusos","$10 - $15","Mediano","No","El envase debe ser fácil de abrir y cerrar."
"2024-01-31 15:40:00","Semanalmente","Cocina","Marca","Naturalidad, Precio","Aroma fresco, Acción rápida","Gel","Lavanda","Sí","Específico","$5 - $10","Pequeño","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
"2024-01-31 15:45:00","Diariamente","Baño","Otro","Precio","Desinfectante, Ecológico","Rociador","Cítricos","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 15:50:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Aroma fresco, Acción rápida","Toallitas","Frescura del océano","Sí","Específico","$15 - $20","Grande","No","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 15:55:00","Ocasionalmente","Dormitorio","Productos caseros","Naturalidad, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","Sí","Multiusos","$5 - $10","Pequeño","No","Sería genial tener opciones sin fragancia."
"2024-01-31 16:01:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Ecológico","Rociador","Pino","Sí","Específico","$10 - $15","Mediano","Sí","Me gustaría un producto con acción desinfectante y aroma cítrico."
"2024-01-31 16:05:00","Diariamente","Baño","Otro","Fragancia, Precio","Aroma fresco, Acción rápida","Gel","Lavanda","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría recibir muestras gratuitas antes del lanzamiento oficial."
"2024-01-31 16:10:00","Mensualmente","Sala","Marca","Naturalidad, Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","No","Multiusos","$10 - $15","Mediano","Sí","Me gustaría un envase con un diseño atractivo."
"2024-01-31 16:15:00","Ocasionalmente","Dormitorio","Otro","Precio","Ecológico, Aroma fresco","Rociador","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","Sí","Sería genial tener opciones sin fragancia."
"2024-01-31 16:20:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 16:25:00","Diariamente","Baño","Otro","Naturalidad, Precio","Aroma fresco, Acción rápida","Toallitas","Pino","Sí","Específico","$10 - $15","Mediano","Sí","Sería genial si el producto tuviera una aplicación sin enjuague."
"2024-01-31 16:30:00","Mensualmente","Sala","Marca","Precio","Desinfectante, Ecológico","Rociador","Cítricos","Sí","Multiusos","$5 - $10","Pequeño","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 16:35:00","Ocasionalmente","Dormitorio","Productos caseros","Eficiencia, Precio","Aroma fresco, Acción rápida","Gel","Frescura del océano","Sí","Específico","$15 - $20","Grande","No","Me gustaría un programa de fidelidad para clientes frecuentes."
"2024-01-31 16:40:00","Semanalmente","Cocina","Otro","Fragancia, Precio","Desinfectante, Aroma fresco","Rociador","Cítricos","No","Multiusos","$10 - $15","Mediano","No","El producto debería ser fácilmente disponible en tiendas en línea."
"2024-01-31 16:45:00","Diariamente","Baño","Marca","Naturalidad, Precio","Ecológico, Aroma fresco","Gel","Lavanda","Sí","Específico","$5 - $10","Pequeño","Sí","Sería genial si el producto fuera adecuado para personas con alergias."
"2024-01-31 16:50:00","Mensualmente","Sala","Otro","Eficiencia, Precio","Aroma fresco, Acción rápida","Toallitas","Cítricos","No","Multiusos","$15 - $20","Grande","No","Me gustaría que el producto fuera biodegradable."
"2024-01-31 16:55:00","Ocasionalmente","Dormitorio","Marca","Fragancia, Precio","Desinfectante, Aroma fresco","Rociador","Pino","Sí","Específico","$10 - $15","Mediano","No","Me gustaría un producto con enfoque antibacteriano."
"Timestamp","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Cítricos","Sí","Multiusos","$5 - $10","Pequeño","No","Me gustaría un envase con dispensador para facilitar su uso."
"2024-01-31 17:01:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Aroma fresco, Acción rápida","Gel","Lavanda","Sí","Específico","$15 - $20","Grande","Sí","Me gustaría un programa de fidelidad para clientes frecuentes."
"2024-01-31 17:05:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Toallitas","Frescura del océano","No","Multiusos","$10 - $15","Mediano","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 17:10:00","Mensualmente","Sala","Marca","Fragancia, Precio","Ecológico, Aroma fresco","Rociador","Cítricos","Sí","Específico","$10 - $15","Mediano","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
"2024-01-31 17:15:00","Ocasionalmente","Dormitorio","Otro","Precio","Desinfectante, Aroma fresco","Gel","Frescura del océano","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una aplicación sin enjuague."
"2024-01-31 17:20:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Lavanda","Sí","Multiusos","Menos de $5","Pequeño","No","Sería genial tener opciones sin fragancia."
"2024-01-31 17:25:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","No","Específico","$10 - $15","Mediano","No","Me gustaría que el producto fuera biodegradable."
"2024-01-31 17:30:00","Diariamente","Dormitorio","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Lavanda","Sí","Multiusos","$15 - $20","Grande","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 17:35:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría que el producto se distribuyera en tiendas locales."
"2024-01-31 17:40:00","Diariamente","Baño","Otro","Precio","Ecológico, Aroma fresco","Rociador","Pino","Sí","Multiusos","$10 - $15","Mediano","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 17:45:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","No","Específico","$15 - $20","Grande","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 17:50:00","Mensualmente","Sala","Otro","Fragancia, Precio","Aroma fresco, Acción rápida","Toallitas","Cítricos","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría recibir muestras gratuitas antes del lanzamiento oficial."
"2024-01-31 17:55:00","Ocasionalmente","Dormitorio","Marca","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Lavanda","Sí","Multiusos","$15 - $20","Grande","No","El producto debería ser fácilmente disponible en tiendas en línea."
"2024-01-31 18:01:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$15 - $20","Grande","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 18:05:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Toallitas","Lavanda","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría un programa de fidelidad para clientes frecuentes."
"2024-01-31 18:10:00","Mensualmente","Sala","Productos caseros","Fragancia, Precio","Aroma fresco, Acción rápida","Rociador","Cítricos","No","Específico","$10 - $15","Mediano","Sí","Sería genial si el producto fuera adecuado para personas con alergias."
"2024-01-31 18:15:00","Ocasionalmente","Dormitorio","Marca","Eficiencia, Precio","Desinfectante, Ecológico","Gel","Frescura del océano","Sí","Multiusos","$5 - $10","Pequeño","No","Me gustaría un envase con dispensador para facilitar su uso."
"2024-01-31 18:20:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Rociador","Cítricos","Sí","Específico","$15 - $20","Grande","No","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 18:25:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$5 - $10","Pequeño","Sí","Sería genial tener opciones sin fragancia."
"2024-01-31 18:30:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","No","Multiusos","$10 - $15","Mediano","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 18:35:00","Ocasionalmente","Dormitorio","Marca","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 18:40:00","Semanalmente","Cocina","Otro","Fragancia, Precio","Aroma fresco, Acción rápida","Gel","Lavanda","No","Específico","$5 - $10","Pequeño","Sí","Me gustaría un envase con un diseño atractivo."
"2024-01-31 18:45:00","Diariamente","Baño","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una versión sin fragancia."
"2024-01-31 18:50:00","Mensualmente","Sala","Productos caseros","Naturalidad, Precio","Ecológico, Aroma fresco","Gel","Cítricos","No","Específico","$15 - $20","Grande","Sí","Sería genial si el producto tuviera una aplicación sin enjuague."
"2024-01-31 18:55:00","Ocasionalmente","Dormitorio","Otro","Fragancia, Precio","Desinfectante, Aroma fresco","Rociador","Frescura del océano","No","Multiusos","$10 - $15","Mediano","No","El envase debe ser fácil de abrir y cerrar."
"2024-01-31 19:01:00","Semanalmente","Cocina","Marca","Naturalidad, Precio","Aroma fresco, Acción rápida","Gel","Lavanda","Sí","Específico","$5 - $10","Pequeño","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
"2024-01-31 19:05:00","Diariamente","Baño","Otro","Precio","Desinfectante, Ecológico","Rociador","Cítricos","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 19:10:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Aroma fresco, Acción rápida","Toallitas","Frescura del océano","Sí","Específico","$15 - $20","Grande","No","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 19:15:00","Ocasionalmente","Dormitorio","Productos caseros","Naturalidad, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","Sí","Multiusos","$5 - $10","Pequeño","No","Sería genial tener opciones sin fragancia."
"Timestamp","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Rociador","Cítricos","Sí","Específico","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una versión sin fragancia."
"2024-01-31 19:20:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Ecológico, Aroma fresco","Toallitas","Frescura del océano","No","Multiusos","$5 - $10","Pequeño","No","Sería genial tener opciones sin fragancia."
"2024-01-31 19:25:00","Mensualmente","Sala","Marca","Fragancia, Precio","Aroma fresco, Acción rápida","Gel","Cítricos","Sí","Específico","$10 - $15","Mediano","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
"2024-01-31 19:30:00","Ocasionalmente","Dormitorio","Otro","Precio","Desinfectante, Aroma fresco","Rociador","Lavanda","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría un programa de fidelidad para clientes frecuentes."
"2024-01-31 19:35:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Ecológico, Aroma fresco","Gel","Cítricos","Sí","Específico","$15 - $20","Grande","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 19:40:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","Sí","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 19:45:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","No","Específico","$5 - $10","Pequeño","No","Me gustaría un envase con dispensador para facilitar su uso."
"2024-01-31 19:50:00","Ocasionalmente","Dormitorio","Marca","Fragancia, Precio","Aroma fresco, Acción rápida","Rociador","Pino","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una aplicación sin enjuague."
"2024-01-31 19:55:00","Semanalmente","Cocina","Productos caseros","Eficiencia, Precio","Desinfectante, Ecológico","Gel","Cítricos","Sí","Específico","$15 - $20","Grande","No","Me gustaría un envase con un diseño atractivo."
"2024-01-31 20:01:00","Diariamente","Baño","Marca","Naturalidad, Precio","Aroma fresco, Acción rápida","Toallitas","Lavanda","Sí","Multiusos","$5 - $10","Pequeño","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 20:05:00","Mensualmente","Sala","Otro","Precio","Desinfectante, Ecológico","Rociador","Cítricos","No","Específico","$10 - $15","Mediano","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 20:10:00","Ocasionalmente","Dormitorio","Marca","Eficiencia, Precio","Aroma fresco, Acción rápida","Gel","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 20:15:00","Semanalmente","Cocina","Otro","Fragancia, Precio","Desinfectante, Aroma fresco","Rociador","Lavanda","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 20:20:00","Diariamente","Baño","Marca","Naturalidad, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$10 - $15","Mediano","Sí","Sería genial tener opciones sin fragancia."
"2024-01-31 20:25:00","Mensualmente","Sala","Productos caseros","Fragancia, Precio","Aroma fresco, Acción rápida","Toallitas","Cítricos","Sí","Multiusos","$5 - $10","Pequeño","No","Me gustaría que el producto fuera biodegradable."
"2024-01-31 20:30:00","Ocasionalmente","Dormitorio","Otro","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Lavanda","No","Multiusos","$10 - $15","Mediano","No","El envase debe ser fácil de abrir y cerrar."
"2024-01-31 20:35:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Aroma fresco, Acción rápida","Gel","Cítricos","Sí","Específico","$15 - $20","Grande","Sí","Sería genial tener opciones sin fragancia."
"2024-01-31 20:40:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Frescura del océano","No","Multiusos","$10 - $15","Mediano","No","Me gustaría un producto con acción desinfectante y aroma cítrico."
"2024-01-31 20:45:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$5 - $10","Pequeño","Sí","Sería genial tener opciones sin fragancia."
"2024-01-31 20:50:00","Ocasionalmente","Dormitorio","Otro","Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","Sí","Multiusos","$15 - $20","Grande","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 20:55:00","Semanalmente","Cocina","Marca","Fragancia, Precio","Aroma fresco, Acción rápida","Rociador","Lavanda","Sí","Específico","$10 - $15","Mediano","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 21:01:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Ecológico","Gel","Cítricos","No","Multiusos","$5 - $10","Pequeño","Sí","Me gustaría recibir muestras gratuitas antes del lanzamiento oficial."
"2024-01-31 21:05:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Aroma fresco, Acción rápida","Toallitas","Frescura del océano","Sí","Específico","$15 - $20","Grande","No","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 21:10:00","Ocasionalmente","Dormitorio","Productos caseros","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Lavanda","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría un envase con un diseño atractivo."
"2024-01-31 21:15:00","Semanalmente","Cocina","Marca","Fragancia, Precio","Ecológico, Aroma fresco","Gel","Cítricos","No","Específico","$5 - $10","Pequeño","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
