"Timestamp","Género","Rango de Edad","Frecuencia de Visitas","Calidad de Platos","Variedad del Menú","Presentación de Platos","Rapidez del Servicio","Ambientación del Restaurante","Atención del Personal","Recomendación a Amigos o Familiares","Platos Principales Preferidos","Postres Preferidos","Comentarios Adicionales"
"2024-01-31 19:15:00","b) Femenino","c) 26-35 años","c) Semanal","d) 4","d) Buena","e) Cumplió totalmente","d) Rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Sopa de Mariscos","b) Flan, e) Frutas frescas","La sopa de mariscos es una de mis favoritas. Siempre satisfecha con la experiencia en este restaurante."
"2024-01-31 19:30:00","a) Masculino","d) 36-50 años","b) Mensual","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, b) Paella de Mariscos","a) Tiramisú, d) Pastel de Chocolate","Excelente lugar. La paella de mariscos siempre es mi elección y nunca me decepciona."
"2024-01-31 19:45:00","b) Femenino","b) 18-25 años","a) Primera vez","c) 3","c) Aceptable","a) No cumplió para nada","b) Lenta","c) Neutral","b) Insatisfactoria","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, e) Frutas frescas","Mi primera visita no fue tan positiva como esperaba. La velocidad del servicio y la presentación de los platos no cumplieron mis expectativas."
"2024-01-31 20:00:00","c) Prefiero no decirlo","a) Menos de 18 años","c) Semanal","b) 2","a) Muy limitada","a) No cumplió para nada","b) Lenta","b) No me gustó","c) Aceptable","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, e) Frutas frescas","La variedad del menú es limitada y la presentación de los platos no fue satisfactoria. La atención del personal fue aceptable."
"2024-01-31 20:15:00","b) Femenino","c) 26-35 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","c) Helado, e) Frutas frescas","La calidad de la comida y la rapidez del servicio siempre son excepcionales. Uno de mis lugares favoritos."
"2024-01-31 20:30:00","a) Masculino","b) 18-25 años","b) Mensual","d) 4","d) Buena","e) Cumplió totalmente","d) Rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Sushi de Mariscos","a) Tiramisú, d) Pastel de Chocolate","El sushi de mariscos es espectacular. La experiencia siempre es agradable."
"2024-01-31 20:45:00","b) Femenino","c) 26-35 años","c) Semanal","d) 4","d) Buena","e) Cumplió totalmente","c) Aceptable","c) Neutral","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, b) Paella de Mariscos","b) Flan, e) Frutas frescas","Siempre una experiencia positiva. La calidad de la comida es destacada."
"2024-01-31 21:00:00","c) Prefiero no decirlo","e) Más de 50 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","a) Tiramisú, c) Helado","La comida siempre es deliciosa y el servicio es rápido. Uno de mis lugares favoritos."
"2024-02-01 12:30:00","a) Masculino","c) 26-35 años","b) Mensual","d) 4","d) Buena","e) Cumplió totalmente","d) Rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Ceviche de Mariscos","a) Tiramisú, e) Frutas frescas","El ceviche de mariscos siempre es una elección acertada. Rápido y delicioso."
"2024-02-01 12:45:00","b) Femenino","c) 26-35 años","c) Semanal","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, b) Paella de Mariscos","c) Helado, e) Frutas frescas","La paella de mariscos es mi plato favorito, y siempre me dejan satisfecha."
"2024-02-01 13:00:00","c) Prefiero no decirlo","e) Más de 50 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Risotto de Mariscos","a) Tiramisú, d) Pastel de Chocolate","El risotto de mariscos es una delicia. Nunca me canso de él."
"2024-02-01 13:15:00","a) Masculino","b) 18-25 años","a) Primera vez","c) 3","c) Aceptable","a) No cumplió para nada","b) Lenta","c) Neutral","b) Insatisfactoria","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, e) Frutas frescas","Mi primera visita no fue tan positiva como esperaba. La espera fue larga y la presentación no cumplió mis expectativas."
"2024-02-01 13:30:00","b) Femenino","c) 26-35 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","c) Helado, e) Frutas frescas","La calidad de la comida y la rapidez siempre son sobresalientes. Uno de mis lugares preferidos."
"2024-02-01 13:45:00","c) Prefiero no decirlo","a) Menos de 18 años","c) Semanal","b) 2","a) Muy limitada","a) No cumplió para nada","b) Lenta","b) No me gustó","c) Aceptable","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, e) Frutas frescas","La variedad es limitada y la presentación no fue satisfactoria. A mejorar en esos aspectos."
"2024-02-01 14:00:00","b) Femenino","c) 26-35 años","b) Mensual","d) 4","d) Buena","e) Cumplió totalmente","d) Rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Sushi de Mariscos","a) Tiramisú, d) Pastel de Chocolate","El sushi de mariscos es mi favorito. La calidad siempre es consistente."
"2024-02-01 14:15:00","a) Masculino","b) 18-25 años","c) Semanal","d) 4","d) Buena","e) Cumplió totalmente","c) Aceptable","c) Neutral","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, b) Paella de Mariscos","b) Flan, e) Frutas frescas","La presentación podría mejorar, pero la calidad de la comida es excelente."
"2024-02-01 14:30:00","c) Prefiero no decirlo","e) Más de 50 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","a) Tiramisú, c) Helado","La comida siempre es deliciosa y el servicio es rápido. Uno de mis lugares favoritos."
"2024-02-01 12:30:00","a) Masculino","c) 26-35 años","b) Mensual","d) 4","d) Buena","e) Cumplió totalmente","d) Rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Ceviche de Mariscos","a) Tiramisú, e) Frutas frescas","El ceviche de mariscos siempre es una elección acertada. Rápido y delicioso."
"2024-02-01 12:45:00","b) Femenino","c) 26-35 años","c) Semanal","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, b) Paella de Mariscos","c) Helado, e) Frutas frescas","La paella de mariscos es mi plato favorito, y siempre me dejan satisfecha."
"2024-02-01 13:00:00","c) Prefiero no decirlo","e) Más de 50 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Risotto de Mariscos","a) Tiramisú, d) Pastel de Chocolate","El risotto de mariscos es una delicia. Nunca me canso de él."
"2024-02-01 13:15:00","a) Masculino","b) 18-25 años","a) Primera vez","c) 3","c) Aceptable","a) No cumplió para nada","b) Lenta","c) Neutral","b) Insatisfactoria","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, e) Frutas frescas","Mi primera visita no fue tan positiva como esperaba. La espera fue larga y la presentación no cumplió mis expectativas."
"2024-02-01 13:30:00","b) Femenino","c) 26-35 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","c) Helado, e) Frutas frescas","La calidad de la comida y la rapidez siempre son sobresalientes. Uno de mis lugares preferidos."
"2024-02-01 13:45:00","c) Prefiero no decirlo","a) Menos de 18 años","c) Semanal","b) 2","a) Muy limitada","a) No cumplió para nada","b) Lenta","b) No me gustó","c) Aceptable","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, e) Frutas frescas","La variedad es limitada y la presentación no fue satisfactoria. A mejorar en esos aspectos."
"2024-02-01 14:00:00","b) Femenino","c) 26-35 años","b) Mensual","d) 4","d) Buena","e) Cumplió totalmente","d) Rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Sushi de Mariscos","a) Tiramisú, d) Pastel de Chocolate","El sushi de mariscos es mi favorito. La calidad siempre es consistente."
"2024-02-01 14:15:00","a) Masculino","b) 18-25 años","c) Semanal","d) 4","d) Buena","e) Cumplió totalmente","c) Aceptable","c) Neutral","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, b) Paella de Mariscos","b) Flan, e) Frutas frescas","La presentación podría mejorar, pero la calidad de la comida es excelente."
"2024-02-01 14:30:00","c) Prefiero no decirlo","e) Más de 50 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","a) Tiramisú, c) Helado","La comida siempre es deliciosa y el servicio es rápido. Uno de mis lugares favoritos."
"2024-02-01 12:30:00","b) Femenino","c) 26-35 años","c) Semanal","d) 4","d) Buena","e) Cumplió totalmente","d) Rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Sopa de Mariscos","b) Flan, e) Frutas frescas","La sopa de mariscos es una de mis favoritas. Siempre satisfecha con la experiencia en este restaurante."
"2024-02-01 12:45:00","a) Masculino","d) 36-50 años","b) Mensual","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, b) Paella de Mariscos","a) Tiramisú, d) Pastel de Chocolate","Excelente lugar. La paella de mariscos siempre es mi elección y nunca me decepciona."
"2024-02-01 13:00:00","b) Femenino","b) 18-25 años","a) Primera vez","c) 3","c) Aceptable","a) No cumplió para nada","b) Lenta","c) Neutral","b) Insatisfactoria","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, e) Frutas frescas","Mi primera visita no fue tan positiva como esperaba. La velocidad del servicio y la presentación de los platos no cumplieron mis expectativas."
"2024-02-01 13:15:00","c) Prefiero no decirlo","a) Menos de 18 años","c) Semanal","b) 2","a) Muy limitada","a) No cumplió para nada","b) Lenta","b) No me gustó","c) Aceptable","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, e) Frutas frescas","La variedad del menú es limitada y la presentación de los platos no fue satisfactoria. La atención del personal fue aceptable."
"2024-02-01 13:30:00","b) Femenino","c) 26-35 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","c) Helado, e) Frutas frescas","La calidad de la comida y la rapidez del servicio siempre son excepcionales. Uno de mis lugares favoritos."
"2024-02-01 13:45:00","a) Masculino","b) 18-25 años","b) Mensual","d) 4","d) Buena","e) Cumplió totalmente","d) Rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Sushi de Mariscos","a) Tiramisú, d) Pastel de Chocolate","El sushi de mariscos es espectacular. La experiencia siempre es agradable."
"2024-02-01 14:00:00","b) Femenino","c) 26-35 años","c) Semanal","d) 4","d) Buena","e) Cumplió totalmente","c) Aceptable","c) Neutral","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, b) Paella de Mariscos","b) Flan, e) Frutas frescas","Siempre una experiencia positiva. La calidad de la comida es destacada."
"2024-02-01 14:15:00","c) Prefiero no decirlo","e) Más de 50 años","d) Diaria","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","e) Muy rápida","d) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","a) Tiramisú, c) Helado","La comida siempre es deliciosa y el servicio es rápido. Uno de mis lugares favoritos."
