1-2 veces por semana;Café con leche (latte, capuchino, etc.);Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;A veces lo necesito;Precio,Calidad del grano;En la oficina/trabajo;Leche o crema,Azúcar o endulzante;Precios más accesibles;Femenino;36-50 años
Frecuencia consumo;Tipo de café;Fidelidad marca;Pago por taza;Momento del día;Café indispensable;Factores elección;Lugares consumo;Agregados;Aspectos a mejorar;Género;Rango de edad
Diariamente;Café con leche (latte, capuchino, etc.);Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;Sí, no puedo empezar el día sin él;Precio,Calidad del grano;En casa,En la oficina/trabajo;Leche o crema,Azúcar o endulzante;Precios más accesibles,Calidad en establecimientos;Femenino;26-35 años
3-5 veces por semana;Café espresso (puro);No, elijo según la oferta;$2 - $4 USD;Mañana;Sí, no puedo empezar el día sin él;Calidad del grano,Sostenibilidad (marca ecológica);En cafeterías;Ninguno, lo prefiero negro;Información sobre origen del café;Masculino;18-25 años
Diariamente;Café frío/helado;Depende de la disponibilidad;$5 - $7 USD;Tarde;A veces lo necesito;Disponibilidad inmediata,Recomendación de amigos;En lugares públicos (parques, transporte, etc.);Jarabes (vainilla, caramelo, etc.);Variedad de opciones en cafeterías;No binario/Prefiero no decir;36-50 años
Ocasionalmente;Descafeinado;No, elijo según la oferta;Menos de $2 USD;No tengo preferencia;No, es un gusto ocasional;Precio;En casa;Leche o crema;Tiempo de preparación;;26-35 años
1-2 veces por semana;Café instantáneo;Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;A veces lo necesito;Calidad del grano,Disponibilidad inmediata;En la oficina/trabajo;Azúcar o endulzante;Precios más accesibles;Femenino;36-50 años
Nunca;;No, elijo según la oferta;;No tengo preferencia;No, es un gusto ocasional;;No consumo café fuera de casa;;;Masculino;Más de 50 años
Diariamente;Café con leche (latte, capuchino, etc.);Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;Sí, no puedo empezar el día sin él;Calidad del grano,Sostenibilidad (marca ecológica);En casa,En la oficina/trabajo;Leche o crema,Especias (canela, cardamomo, etc.);Información sobre origen del café;Femenino;26-35 años
3-5 veces por semana;Café espresso (puro);Depende de la disponibilidad;$5 - $7 USD;Tarde;A veces lo necesito;Precio,Recomendación de amigos;En cafeterías;Ninguno, lo prefiero negro;Calidad en establecimientos;Masculino;18-25 años
Diariamente;Café frío/helado;No, elijo según la oferta;$2 - $4 USD;Noche;Sí, no puedo empezar el día sin él;Disponibilidad inmediata;En casa,En lugares públicos (parques, transporte, etc.);Jarabes (vainilla, caramelo, etc.);Variedad de opciones en cafeterías;;26-35 años
1-2 veces por semana;Café con leche (latte, capuchino, etc.);Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;A veces lo necesito;Precio,Calidad del grano;En la oficina/trabajo;Leche o crema,Azúcar o endulzante;Precios más accesibles;Femenino;36-50 años
Diariamente;Café espresso (puro);No, elijo según la oferta;$5 - $7 USD;Mañana;Sí, no puedo empezar el día sin él;Calidad del grano,Sostenibilidad (marca ecológica);En casa,En cafeterías;Ninguno, lo prefiero negro;Calidad en establecimientos;Masculino;26-35 años
Ocasionalmente;Café instantáneo;Depende de la disponibilidad;Menos de $2 USD;Tarde;No, es un gusto ocasional;Precio,Disponibilidad inmediata;En casa;Azúcar o endulzante;Tiempo de preparación;Femenino;18-25 años
Diariamente;Café frío/helado;Sí, siempre compro la misma marca;$2 - $4 USD;Noche;A veces lo necesito;Disponibilidad inmediata,Recomendación de amigos;En lugares públicos (parques, transporte, etc.);Jarabes (vainilla, caramelo, etc.);Variedad de opciones en cafeterías;No binario/Prefiero no decir;36-50 años
3-5 veces por semana;Descafeinado;No, elijo según la oferta;$2 - $4 USD;Mañana;No, es un gusto ocasional;Sostenibilidad (marca ecológica);En la oficina/trabajo;Leche o crema;Información sobre origen del café;;26-35 años
1-2 veces por semana;Café con leche (latte, capuchino, etc.);Depende de la disponibilidad;$5 - $7 USD;Tarde;A veces lo necesito;Calidad del grano,Precio;En cafeterías;Leche o crema,Especias (canela, cardamomo, etc.);Precios más accesibles;Femenino;18-25 años
Diariamente;Café espresso (puro);Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;Sí, no puedo empezar el día sin él;Calidad del grano;En casa,En la oficina/trabajo;Ninguno, lo prefiero negro;Calidad en establecimientos;Masculino;26-35 años
Nunca;;Depende de la disponibilidad;;No tengo preferencia;No, es un gusto ocasional;;No consumo café fuera de casa;;;Femenino;Más de 50 años
Ocasionalmente;Café frío/helado;No, elijo según la oferta;Menos de $2 USD;No tengo preferencia;No, es un gusto ocasional;Disponibilidad inmediata;En lugares públicos (parques, transporte, etc.);Jarabes (vainilla, caramelo, etc.);Variedad de opciones en cafeterías;Masculino;36-50 años
Diariamente;Café instantáneo;Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;Sí, no puedo empezar el día sin él;Precio,Disponibilidad inmediata;En casa;Azúcar o endulzante;Precios más accesibles;Femenino;26-35 años
3-5 veces por semana;Café con leche (latte, capuchino, etc.);No, elijo según la oferta;$5 - $7 USD;Tarde;A veces lo necesito;Calidad del grano,Recomendación de amigos;En cafeterías;Leche o crema,Especias (canela, cardamomo, etc.);Información sobre origen del café;Masculino;18-25 años
Diariamente;Descafeinado;Depende de la disponibilidad;$2 - $4 USD;Noche;Sí, no puedo empezar el día sin él;Sostenibilidad (marca ecológica);En casa;Leche o crema;Tiempo de preparación;;36-50 años
1-2 veces por semana;Café espresso (puro);Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;A veces lo necesito;Calidad del grano,Precio;En la oficina/trabajo;Ninguno, lo prefiero negro;Calidad en establecimientos;Femenino;26-35 años
Diariamente;Café frío/helado;No, elijo según la oferta;$5 - $7 USD;Tarde;Sí, no puedo empezar el día sin él;Disponibilidad inmediata,Recomendación de amigos;En lugares públicos (parques, transporte, etc.);Jarabes (vainilla, caramelo, etc.);Variedad de opciones en cafeterías;No binario/Prefiero no decir;18-25 años
Ocasionalmente;Café instantáneo;No, elijo según la oferta;Menos de $2 USD;No tengo preferencia;No, es un gusto ocasional;Precio;En casa;Azúcar o endulzante;Precios más accesibles;Masculino;26-35 años
3-5 veces por semana;Café con leche (latte, capuchino, etc.);Depende de la disponibilidad;$2 - $4 USD;Mañana;A veces lo necesito;Calidad del grano,Sostenibilidad (marca ecológica);En la oficina/trabajo;Leche o crema,Azúcar o endulzante;Información sobre origen del café;Femenino;36-50 años
Diariamente;Café espresso (puro);Sí, siempre compro la misma marca;$5 - $7 USD;Mañana;Sí, no puedo empezar el día sin él;Calidad del grano;En cafeterías;Ninguno, lo prefiero negro;Calidad en establecimientos;Masculino;26-35 años
Nunca;;No, elijo según la oferta;;No tengo preferencia;No, es un gusto ocasional;;No consumo café fuera de casa;;;Femenino;Más de 50 años
1-2 veces por semana;Café frío/helado;Sí, siempre compro la misma marca;$2 - $4 USD;Tarde;A veces lo necesito;Disponibilidad inmediata,Recomendación de amigos;En lugares públicos (parques, transporte, etc.);Jarabes (vainilla, caramelo, etc.);Variedad de opciones en cafeterías;;18-25 años
Diariamente;Café con leche (latte, capuchino, etc.);No, elijo según la oferta;$2 - $4 USD;Mañana;Sí, no puedo empezar el día sin él;Precio,Calidad del grano;En casa,En la oficina/trabajo;Leche o crema,Especias (canela, cardamomo, etc.);Precios más accesibles;Femenino;26-35 años
3-5 veces por semana;Descafeinado;Depende de la disponibilidad;$5 - $7 USD;Tarde;No, es un gusto ocasional;Sostenibilidad (marca ecológica);En cafeterías;Leche o crema;Información sobre origen del café;Masculino;36-50 años
Diariamente;Café instantáneo;Sí, siempre compro la misma marca;$2 - $4 USD;Mañana;A veces lo necesito;Precio,Disponibilidad inmediata;En casa;Azúcar o endulzante;Tiempo de preparación;Femenino;18-25 años
